,well,content,t(h),A750c,F680c
370,G8,ICL_201,70,0.215374997,4547.5
371,G9,ICL_172,70,0.172241664,4001.833333
372,H1,ICL_186A,70,0.232891665,4799.833333
373,H10,Chlamy,70,0.21210833,5251.166667
374,H11,Chlamy,70,0.207041667,5256
375,H12,Chlamy,70,0.239808337,5389.166667
376,H2,ICL_186B,70,0.218741671,5338.5
377,H3,ICL_170,70,0.232958333,4392.5
378,H4,ICL_179A,70,0.24335833,4890.5
379,H5,ICL_179B,70,0.217774998,4972.666667
380,H6,Chlamy,70,0.203741661,5206.166667
381,H7,Chlamy,70,0.199441662,5209.5
382,H8,Chlamy,70,0.201708338,5287.833333
383,H9,Chlamy,70,0.208891666,5193.666667
384,A1,ICL_162,93,0.207544045,5397.833333
385,A10,ICL_118B,93,0.236444047,6032.333333
386,A11,ICL_100,93,0.125560715,6618.333333
387,A12,ICL_108,93,0.157827381,6911.166667
388,A2,ICL_202A,93,0.190960717,5418.5
389,A3,ICL_202B,93,0.199910712,5464.333333
390,A4,ICL_202C,93,0.203344048,5694.666667
391,A5,ICL_131,93,0.171044053,5759.666667
392,A6,ICL_116,93,0.194244043,5975
393,A7,ICL_112,93,0.19964405,5240
394,A8,ICL_163,93,0.126660711,5378.5
395,A9,ICL_24,93,0.148094049,5675.166667
396,B1,ICL_115,93,0.158577376,6378
397,B10,ICL_20BA,93,0.192794051,7480.666667
398,B11,ICL_20BB,93,0.14679405,7223.833333
399,B12,ICL_60,93,0.160077377,7260.333333
400,B2,ICL_199,93,0.143227377,5721.666667
401,B3,ICL_101,93,0.169810714,6828.5
402,B4,ICL_139A,93,0.154927382,6763.5
403,B5,ICL_103,93,0.174377378,6946.666667
404,B6,ICL_160,93,0.154110711,6216.833333
405,B7,ICL_129A,93,0.208194044,6168.333333
406,B8,ICL_129B,93,0.182160717,6774.166667
407,B9,ICL_133,93,0.182410718,7351.5
408,C1,ICL_144,93,0.158127379,6618.333333
409,C10,ICL_184BA,93,0.161710721,4936.333333
410,C11,ICL_184BB,93,0.164477374,5013.666667
411,C12,ICL_193,93,0.243644045,7305.166667
412,C2,ICL_41,93,0.261110709,6600.166667
413,C3,ICL_114B,93,0.258077384,6724.333333
414,C4,ICL_208B,93,0.164744046,6606.833333
415,C5,ICL_117,93,0.24742738,6897.666667
416,C6,ICL_132,93,0.141227381,5600.333333
417,C7,ICL_48,93,0.16719405,5438.666667
418,C8,ICL_201,93,0.187944041,5705.833333
419,C9,ICL_172,93,0.149094042,5535.666667
420,D1,ICL_186A,93,0.226244049,6253
421,D10,Chlamy,93,0.17309404,6885.5
422,D11,Chlamy,93,0.17236071,6862
423,D12,Chlamy,93,0.165727373,6941
424,D2,ICL_186B,93,0.169194049,5967.166667
425,D3,ICL_170,93,0.224010712,6575.5
426,D4,ICL_179A,93,0.224494051,6804.833333
427,D5,ICL_179B,93,0.187110713,6583
428,D6,Chlamy,93,0.141577379,5582.5
429,D7,Chlamy,93,0.178160708,6738.5
430,D8,Chlamy,93,0.17296071,6737.5
431,D9,Chlamy,93,0.178610719,6864.666667
432,E1,ICL_162,93,0.220044043,5342.166667
433,E10,ICL_118B,93,0.237010714,6354.5
434,E11,ICL_100,93,0.162044045,6819.333333
435,E12,ICL_108,93,0.180077385,6741.5
436,E2,ICL_202A,93,0.208360713,5854.166667
437,E3,ICL_202B,93,0.217144049,5574.833333
438,E4,ICL_202C,93,0.217977381,5890.833333
439,E5,ICL_131,93,0.175260714,6272.166667
440,E6,ICL_116,93,0.199427382,6221.333333
441,E7,ICL_112,93,0.215110716,5581.833333
442,E8,ICL_163,93,0.142744046,5710.333333
443,E9,ICL_24,93,0.175027377,5474
444,F1,ICL_115,93,0.16164405,6420.166667
445,F10,ICL_20BA,93,0.174177385,7330.166667
446,F11,ICL_20BB,93,0.154110711,6991.166667
447,F12,ICL_60,93,0.155827375,6969.333333
448,F2,ICL_199,93,0.141394043,5966
449,F3,ICL_101,93,0.158044047,6615
450,F4,ICL_139A,93,0.158810716,6618.666667
451,F5,ICL_103,93,0.171910714,6736
452,F6,ICL_160,93,0.148094047,6436.333333
453,F7,ICL_129A,93,0.202860704,6092.333333
454,F8,ICL_129B,93,0.169044049,6630.333333
455,F9,ICL_133,93,0.184060719,7232.666667
456,G1,ICL_144,93,0.192860709,6876.833333
457,G10,ICL_184BA,93,0.179744046,5218
458,G11,ICL_184BB,93,0.17477738,5029.666667
459,G12,ICL_193,93,0.242560711,7223.333333
460,G2,ICL_41,93,0.263210715,6542.833333
461,G3,ICL_114B,93,0.262410717,6732.833333
462,G4,ICL_208B,93,0.162327383,6519.166667
463,G5,ICL_117,93,0.169677378,6177.666667
464,G6,ICL_132,93,0.154727383,6411.666667
465,G7,ICL_48,93,0.17766071,5830
466,G8,ICL_201,93,0.194527374,5634.833333
467,G9,ICL_172,93,0.154160714,5621.833333
468,H1,ICL_186A,93,0.227077386,6250
469,H10,Chlamy,93,0.169410717,6788.5
470,H11,Chlamy,93,0.165644041,6907.833333
471,H12,Chlamy,93,0.194594047,6937.166667
472,H2,ICL_186B,93,0.184244048,6211.166667
473,H3,ICL_170,93,0.231544044,6545.5
474,H4,ICL_179A,93,0.237594045,6712.833333
475,H5,ICL_179B,93,0.186810708,6649
476,H6,Chlamy,93,0.169627375,6859.166667
477,H7,Chlamy,93,0.153410714,6699.333333
478,H8,Chlamy,93,0.160977377,6919.5
479,H9,Chlamy,93,0.161294047,6698.5
480,A1,ICL_162,120,0.184624996,6879
481,A10,ICL_118B,120,0.247541662,10399
482,A11,ICL_100,120,0.154841663,9861.666667
483,A12,ICL_108,120,0.203508333,10780.33333
484,A2,ICL_202A,120,0.153174997,5846
485,A3,ICL_202B,120,0.16780834,6128
486,A4,ICL_202C,120,0.189475001,7046.666667
487,A5,ICL_131,120,0.144808333,6609.5
488,A6,ICL_116,120,0.200841661,8460.666667
489,A7,ICL_112,120,0.172858339,6402
490,A8,ICL_163,120,0.132758333,7905.666667
491,A9,ICL_24,120,0.116374998,6791
492,B1,ICL_115,120,0.137724997,8046.833333
493,B10,ICL_20BA,120,0.24624166,12261
494,B11,ICL_20BB,120,0.208091662,11907
495,B12,ICL_60,120,0.190058332,11233.16667
496,B2,ICL_199,120,0.130958332,8178.833333
497,B3,ICL_101,120,0.181941669,10935.16667
498,B4,ICL_139A,120,0.191741661,11088.83333
499,B5,ICL_103,120,0.223074994,11682.16667
500,B6,ICL_160,120,0.137108334,8738.5
501,B7,ICL_129A,120,0.177158332,7247.833333
502,B8,ICL_129B,120,0.227091666,11280.5
503,B9,ICL_133,120,0.222674997,11910
504,C1,ICL_144,120,0.179624996,10676.5
505,C10,ICL_184BA,120,0.139808335,6280.5
506,C11,ICL_184BB,120,0.153225001,6279.833333
507,C12,ICL_193,120,0.306024999,11633.5
508,C2,ICL_41,120,0.262258327,9957
509,C3,ICL_114B,120,0.261441669,10071.33333
510,C4,ICL_208B,120,0.224908333,11420
511,C5,ICL_117,120,0.274558337,11889.83333
512,C6,ICL_132,120,0.157441672,9134.166667
513,C7,ICL_48,120,0.154041664,7078.166667
514,C8,ICL_201,120,0.171125001,7277.5
515,C9,ICL_172,120,0.099624997,4356.333333
516,D1,ICL_186A,120,0.222875,8748.333333
517,D10,Chlamy,120,0.217541666,11603.5
518,D11,Chlamy,120,0.197241665,11097.83333
519,D12,Chlamy,120,0.180675001,10717
520,D2,ICL_186B,120,0.185008338,10039.66667
521,D3,ICL_170,120,0.222741665,8402.5
522,D4,ICL_179A,120,0.251224996,10053
523,D5,ICL_179B,120,0.247525003,11622.66667
524,D6,Chlamy,120,0.180508333,9773.166667
525,D7,Chlamy,120,0.212274995,11454.5
