,well,content,t(h),A750c
527,D9,BLANK,120,-0.014474998
528,E1,ICL_162,120,0.122125001
529,E10,ICL_118B,120,0.132324995
530,E11,ICL_100,120,-0.005325
531,E12,ICL_108,120,-0.010975002
532,E2,ICL_202A,120,0.118024998
533,E3,ICL_202B,120,0.109574997
534,E4,ICL_202C,120,0.103374996
535,E5,ICL_131,120,0.069874996
536,E6,ICL_116,120,0.082925
537,E7,ICL_112,120,0.106475004
538,E8,ICL_163,120,-0.005674998
539,E9,ICL_24,120,-0.002575002
540,F1,ICL_115,120,-0.013624999
541,F10,ICL_20BA,120,-0.005375001
542,F11,ICL_20BB,120,0.005974998
543,F12,ICL_60,120,-0.015675004
544,F2,ICL_199,120,-0.013625002
545,F3,ICL_101,120,-0.015275
546,F4,ICL_139A,120,-0.018825001
547,F5,ICL_103,120,-0.011374998
548,F6,ICL_160,120,-0.013625002
549,F7,ICL_129A,120,0.097674997
550,F8,ICL_129B,120,-0.004725004
551,F9,ICL_133,120,-0.009224999
552,G1,ICL_144,120,-0.011925
553,G10,ICL_184BA,120,0.104674996
554,G11,ICL_184BB,120,0.415374995
555,G12,ICL_193,120,0.127724999
556,G2,ICL_41,120,0.108674997
557,G3,ICL_114B,120,0.112425001
558,G4,ICL_208B,120,-0.012675001
559,G5,ICL_117,120,0.138025002
560,G6,ICL_132,120,0.032374998
561,G7,ICL_48,120,0.100975
562,G8,ICL_201,120,0.071424999
563,G9,ICL_172,120,0.073874996
564,H1,ICL_186A,120,0.136775003
565,H10,BLANK,120,-0.012125003
566,H11,BLANK,120,-0.014475002
567,H12,BLANK,120,-0.015375002
568,H2,ICL_186B,120,0.045725
569,H3,ICL_170,120,0.118975
570,H4,ICL_179A,120,0.133225002
571,H5,ICL_179B,120,-0.014475002
572,H6,BLANK,120,-0.018425002
573,H7,BLANK,120,0.028925003
574,H8,BLANK,120,-0.011975
575,H9,BLANK,120,0.037375
576,A1,ICL_162,142,0.1173
577,A10,ICL_118B,142,0.123399999
578,A11,ICL_100,142,-0.009199999
579,A12,ICL_108,142,-0.01055
580,A2,ICL_202A,142,0.122050006
581,A3,ICL_202B,142,0.118549999
582,A4,ICL_202C,142,0.112399999
583,A5,ICL_131,142,0.078899998
584,A6,ICL_116,142,0.078499999
585,A7,ICL_112,142,0.122900006
586,A8,ICL_163,142,0.104699996
587,A9,ICL_24,142,-0.011300001
588,B1,ICL_115,142,0.024050001
589,B10,ICL_20BA,142,-0.006249997
590,B11,ICL_20BB,142,0.049399998
591,B12,ICL_60,142,-0.013749998
592,B2,ICL_199,142,-0.013849999
593,B3,ICL_101,142,0.0264
594,B4,ICL_139A,142,-0.012649998
595,B5,ICL_103,142,-0.0143
596,B6,ICL_160,142,0.025100004
597,B7,ICL_129A,142,0.112200003
598,B8,ICL_129B,142,0.050900001
599,B9,ICL_133,142,0.015500002
600,C1,ICL_144,142,-0.013
601,C10,ICL_184BA,142,0.035749998
602,C11,ICL_184BB,142,0.051399995
603,C12,ICL_193,142,0.093300004
604,C2,ICL_41,142,0.125850003
605,C3,ICL_114B,142,0.104650002
606,C4,ICL_208B,142,0.030399997
607,C5,ICL_117,142,0.127900001
608,C6,ICL_132,142,-0.0128
609,C7,ICL_48,142,0.047499996
610,C8,ICL_201,142,0.048100006
611,C9,ICL_172,142,0.055299994
612,D1,ICL_186A,142,0.144949992
613,D10,BLANK,142,-0.013700001
614,D11,BLANK,142,-0.0161
615,D12,BLANK,142,0.047849998
616,D2,ICL_186B,142,-0.010400001
617,D3,ICL_170,142,0.122350004
618,D4,ICL_179A,142,0.143099997
619,D5,ICL_179B,142,0.032000002
620,D6,BLANK,142,-0.0154
621,D7,BLANK,142,0.025150001
622,D8,BLANK,142,-0.003799997
623,D9,BLANK,142,-0.016350001
624,E1,ICL_162,142,0.11905
625,E10,ICL_118B,142,0.130200003
626,E11,ICL_100,142,-0.010250002
627,E12,ICL_108,142,-0.01345
628,E2,ICL_202A,142,0.1265
629,E3,ICL_202B,142,0.118949998
630,E4,ICL_202C,142,0.114799995
631,E5,ICL_131,142,0.071449999
632,E6,ICL_116,142,0.082800005
633,E7,ICL_112,142,0.118300002
634,E8,ICL_163,142,-0.010650001
635,E9,ICL_24,142,0.004999999
636,F1,ICL_115,142,-0.008899998
637,F10,ICL_20BA,142,-0.01035
638,F11,ICL_20BB,142,0.013450001
639,F12,ICL_60,142,-0.0141
640,F2,ICL_199,142,-0.012200001
641,F3,ICL_101,142,-0.010200001
642,F4,ICL_139A,142,-0.015700001
643,F5,ICL_103,142,-0.013050001
644,F6,ICL_160,142,-0.013749998
645,F7,ICL_129A,142,0.11025
646,F8,ICL_129B,142,-0.0143
647,F9,ICL_133,142,-0.005699999
648,G1,ICL_144,142,-0.0108
649,G10,ICL_184BA,142,0.039249998
650,G11,ICL_184BB,142,0.079150003
651,G12,ICL_193,142,0.095949997
652,G2,ICL_41,142,0.130250003
653,G3,ICL_114B,142,0.136750002
654,G4,ICL_208B,142,-0.009199999
655,G5,ICL_117,142,0.138100002
656,G6,ICL_132,142,0.026249998
657,G7,ICL_48,142,0.042100001
658,G8,ICL_201,142,0.050050002
659,G9,ICL_172,142,0.060150001
660,H1,ICL_186A,142,0.149200011
661,H10,BLANK,142,-0.011849999
662,H11,BLANK,142,-0.015700001
663,H12,BLANK,142,-0.010199997
664,H2,ICL_186B,142,0.036000002
665,H3,ICL_170,142,0.119900007
666,H4,ICL_179A,142,0.141899992
667,H5,ICL_179B,142,-0.011950001
668,H6,BLANK,142,-0.0152
669,H7,BLANK,142,0.025649999
670,H8,BLANK,142,-0.0139
671,H9,BLANK,142,0.033549998
672,A1,ICL_162,167,0.10852857
673,A10,ICL_118B,167,0.118478575
674,A11,ICL_100,167,-0.011021427
675,A12,ICL_108,167,-0.011871426
676,A2,ICL_202A,167,0.121778579
677,A3,ICL_202B,167,0.115428568
678,A4,ICL_202C,167,0.114028574
679,A5,ICL_131,167,0.072278575
680,A6,ICL_116,167,0.075528571
681,A7,ICL_112,167,0.122228571
682,A8,ICL_163,167,0.102578567
683,A9,ICL_24,167,-0.005371428
684,B1,ICL_115,167,0.014728573
685,B10,ICL_20BA,167,-0.006471428
686,B11,ICL_20BB,167,0.042278574
687,B12,ICL_60,167,-0.008421427
688,B2,ICL_199,167,-0.012471429
689,B3,ICL_101,167,0.02177857
690,B4,ICL_139A,167,-0.010821427
691,B5,ICL_103,167,-0.012071426
692,B6,ICL_160,167,0.023778574
693,B7,ICL_129A,167,0.109328576
694,B8,ICL_129B,167,0.050728575
695,B9,ICL_133,167,0.00882857
696,C1,ICL_144,167,-0.010071429
697,C10,ICL_184BA,167,0.021778577
698,C11,ICL_184BB,167,0.035778576
699,C12,ICL_193,167,0.083228574
700,C2,ICL_41,167,0.135178574
701,C3,ICL_114B,167,0.098628567
702,C4,ICL_208B,167,0.023878572
703,C5,ICL_117,167,0.120928572
704,C6,ICL_132,167,-0.011171429
705,C7,ICL_48,167,0.036278569
706,C8,ICL_201,167,0.04557857
707,C9,ICL_172,167,0.049728573
708,D1,ICL_186A,167,0.139528566
