Well	mode	wavelength	abs
G3	Absorbance	540	0.8159999847412109
G4	Absorbance	540	0.7797999978065491
G5	Absorbance	540	0.7347999811172485
G6	Absorbance	540	0.6809999942779541
G7	Absorbance	540	0.6208999752998352
G8	Absorbance	540	0.5631999969482422
G9	Absorbance	540	0.4925000071525574
G10	Absorbance	540	0.43369999527931213
G11	Absorbance	540	0.36489999294281006
G12	Absorbance	540	0.23100000619888306
H1	Absorbance	540	0.8248999714851379
H2	Absorbance	540	0.753000020980835
H3	Absorbance	540	0.7093999981880188
H4	Absorbance	540	0.6822999715805054
H5	Absorbance	540	0.6244999766349792
H6	Absorbance	540	0.5602999925613403
H7	Absorbance	540	0.5013999938964844
H8	Absorbance	540	0.4302999973297119
H9	Absorbance	540	0.3472000062465668
H10	Absorbance	540	0.2935999929904938
H11	Absorbance	540	0.22519999742507935
H12	Absorbance	540	0.08720000088214874
A1	Absorbance	550.0	1.1603000164031982
A2	Absorbance	550.0	1.1116000413894653
A3	Absorbance	550.0	1.0547000169754028
A4	Absorbance	550.0	1.0103000402450562
A5	Absorbance	550.0	0.9873999953269958
A6	Absorbance	550.0	0.9427000284194946
A7	Absorbance	550.0	0.8896999955177307
A8	Absorbance	550.0	0.8496999740600586
A9	Absorbance	550.0	0.7968000173568726
A10	Absorbance	550.0	0.7522000074386597
A11	Absorbance	550.0	0.6863999962806702
A12	Absorbance	550.0	0.5752999782562256
B1	Absorbance	550.0	1.1232999563217163
B2	Absorbance	550.0	1.0771000385284424
B3	Absorbance	550.0	1.0247000455856323
B4	Absorbance	550.0	0.9829999804496765
B5	Absorbance	550.0	0.9362999796867371
B6	Absorbance	550.0	0.8925999999046326
B7	Absorbance	550.0	0.8475000262260437
B8	Absorbance	550.0	0.8044999837875366
B9	Absorbance	550.0	0.7340999841690063
B10	Absorbance	550.0	0.6743999719619751
B11	Absorbance	550.0	0.6104000210762024
B12	Absorbance	550.0	0.4823000133037567
C1	Absorbance	550.0	1.070099949836731
C2	Absorbance	550.0	1.0439000129699707
C3	Absorbance	550.0	1.02839994430542
C4	Absorbance	550.0	0.9907000064849854
C5	Absorbance	550.0	0.9444000124931335
C6	Absorbance	550.0	0.8998000025749207
C7	Absorbance	550.0	0.8511000275611877
C8	Absorbance	550.0	0.8169999718666077
C9	Absorbance	550.0	0.7473999857902527
C10	Absorbance	550.0	0.6933000087738037
C11	Absorbance	550.0	0.6230999827384949
C12	Absorbance	550.0	0.48410001397132874
D1	Absorbance	550.0	1.0678999423980713
D2	Absorbance	550.0	0.9937000274658203
D3	Absorbance	550.0	0.9678999781608582
