experiment	sampling_day	pbr_tube	Sample_concentration	cc_sampling_time	Filename	type_of_cell
2	11	2	9799528.3035	2019-04-28 17:10:44	JF_PBR_xp2_d11_t2_02.#m4	b
2	11	2	0.0	2019-04-28 17:10:44	JF_PBR_xp2_d11_t2_02.#m4	c
2	11	3	34815965.17264	2019-04-28 17:08:33	JF_PBR_xp2_d11_t3_01.#m4	b
2	11	3	70355.58781999999	2019-04-28 17:08:33	JF_PBR_xp2_d11_t3_01.#m4	c
2	11	3	35539622.647360004	2019-04-28 17:09:01	JF_PBR_xp2_d11_t3_02.#m4	b
2	11	3	65330.188689999995	2019-04-28 17:09:01	JF_PBR_xp2_d11_t3_02.#m4	c
2	11	4	50666074.02866	2019-04-28 17:06:15	JF_PBR_xp2_d11_t4_01.#m4	b
2	11	4	587971.6982100001	2019-04-28 17:06:15	JF_PBR_xp2_d11_t4_01.#m4	c
2	11	4	55977920.90906999	2019-04-28 17:06:44	JF_PBR_xp2_d11_t4_02.#m4	b
2	11	4	598022.49647	2019-04-28 17:06:44	JF_PBR_xp2_d11_t4_02.#m4	c
2	11	5	40253447.0313	2019-04-28 17:04:26	JF_PBR_xp2_d11_t5_01.#m4	b
2	11	5	532692.30778	2019-04-28 17:04:26	JF_PBR_xp2_d11_t5_01.#m4	c
2	11	5	44087826.567490004	2019-04-28 17:04:55	JF_PBR_xp2_d11_t5_02.#m4	b
2	11	5	572895.50082	2019-04-28 17:04:55	JF_PBR_xp2_d11_t5_02.#m4	c
2	11	6	28328174.895810004	2019-04-28 17:02:34	JF_PBR_xp2_d11_t6_01.#m4	b
2	11	6	50253.9913	2019-04-28 17:02:34	JF_PBR_xp2_d11_t6_01.#m4	c
2	11	6	29629753.27048	2019-04-28 17:03:03	JF_PBR_xp2_d11_t6_02.#m4	b
2	11	6	65330.188689999995	2019-04-28 17:03:03	JF_PBR_xp2_d11_t6_02.#m4	c
2	11	7	9945264.87827	2019-04-28 17:00:37	JF_PBR_xp2_d11_t7_01.#m4	b
2	11	7	442235.12344	2019-04-28 17:00:37	JF_PBR_xp2_d11_t7_01.#m4	c
2	11	7	10196534.83477	2019-04-28 17:01:06	JF_PBR_xp2_d11_t7_02.#m4	b
2	11	7	376904.93475	2019-04-28 17:01:06	JF_PBR_xp2_d11_t7_02.#m4	c
2	11	8	11674002.178989999	2019-04-28 16:58:06	JF_PBR_xp2_d11_t8_01.#m4	b
2	11	8	939749.63731	2019-04-28 16:58:06	JF_PBR_xp2_d11_t8_01.#m4	c
2	11	8	12603701.01804	2019-04-28 16:58:35	JF_PBR_xp2_d11_t8_02.#m4	b
2	11	8	1130714.8042499998	2019-04-28 16:58:35	JF_PBR_xp2_d11_t8_02.#m4	c
2	12	1	19935758.34871	2019-04-29 16:23:05	JF_PBR_xp2_d12_t1_01.#m4	b
2	12	1	10050.79826	2019-04-29 16:23:05	JF_PBR_xp2_d12_t1_01.#m4	c
2	12	1	19855351.962630004	2019-04-29 16:23:34	JF_PBR_xp2_d12_t1_02.#m4	b
2	12	1	10050.79826	2019-04-29 16:23:34	JF_PBR_xp2_d12_t1_02.#m4	c
